,feature,class_label
0,"[-1.47385437e+02  9.34990234e+01 -7.69109879e+01  7.21814299e+00
 -6.01281357e+01  2.09328575e+01 -3.99125824e+01  8.39125347e+00
 -2.83691483e+01  4.36435318e+00 -1.98436813e+01  1.11531295e-01
 -1.94531841e+01  9.55873609e-01 -1.38469210e+01 -2.47227713e-01
 -1.13401995e+01 -5.03770494e+00 -7.19933605e+00 -3.97614551e+00
 -5.09182978e+00 -5.48905039e+00 -3.21886897e+00 -5.11502075e+00
 -2.18960428e+00 -4.98877478e+00 -1.78953278e+00 -4.85952234e+00
 -2.08378553e+00 -4.68026638e+00 -2.13985825e+00 -3.85451841e+00
 -1.51069450e+00 -2.46947455e+00 -1.74790978e+00 -2.07914209e+00
 -4.03015375e-01 -1.58590817e+00 -1.41514361e-01 -1.78347683e+00
 -7.04456985e-01 -2.74948454e+00 -9.78281796e-01 -2.90967274e+00
 -1.54119685e-01 -2.17380524e+00  1.22090507e+00 -8.28256011e-01
  1.78807473e+00 -9.90361214e-01  5.25967062e-01 -9.19404685e-01
  6.30170703e-02 -1.39285177e-01  4.40962076e-01  1.80008814e-01
  9.12776068e-02  5.71223378e-01 -2.16819510e-01  1.12624383e+00
 -7.35366344e-01  1.51958752e+00 -7.18293726e-01  1.53941131e+00
 -6.82502568e-01  1.03672361e+00 -1.01242995e+00  4.18732077e-01
 -3.27478886e-01  1.29042244e+00  5.03384531e-01  3.32900763e-01
  1.82756856e-01 -2.31501505e-01  2.86653548e-01 -9.34435651e-02
  1.03823137e+00  1.18472418e-02  8.39066148e-01 -2.18848079e-01
  7.37052381e-01  3.48350927e-02  4.58076537e-01  1.60118476e-01
  5.84127605e-01  6.11057699e-01 -1.26649559e-01  2.95123309e-01
 -3.69543821e-01  4.32013988e-01 -9.25413221e-02  8.10877562e-01
 -5.79627633e-01  4.46083546e-01 -9.70522046e-01  2.57724106e-01
 -5.06329834e-01  5.48453152e-01 -2.15420853e-02  8.85654390e-02]",22
1,"[-2.5476337e+02  1.8761821e+02  3.0344849e+01  7.4210010e+00
  5.8161821e+00 -1.2852192e+01 -1.2156672e+01 -1.0928204e+01
 -1.0460518e+01 -5.0044117e+00  1.4902693e+00  7.6480584e+00
  7.5689993e+00  7.4206572e+00  9.4733448e+00  5.8081450e+00
  1.9489416e+00  1.1175144e+00 -9.9065489e-01 -1.4054646e+00
 -2.6348644e-01  1.4404935e-01  1.6793001e+00  2.2963774e+00
  2.2091541e+00  3.5122795e+00  3.1162248e+00  2.0166237e+00
  2.4186876e+00  2.0851352e+00  1.3725144e+00  1.2169759e+00
  9.3272227e-01  9.0810239e-01  1.1892437e+00  1.2288134e+00
  1.1482264e+00  1.4637760e+00  1.6654319e+00  1.2945118e+00
  1.1853138e+00  1.2952141e+00  1.2901468e+00  1.5350972e+00
  1.6610966e+00  1.5183457e+00  1.5448980e+00  1.6599287e+00
  1.7065892e+00  1.8584024e+00  2.1413658e+00  2.1960161e+00
  1.9640754e+00  1.6158596e+00  1.1242580e+00  9.2919970e-01
  1.1221967e+00  1.1824150e+00  1.1839427e+00  1.1040444e+00
  1.0553306e+00  1.3621699e+00  1.2299882e+00  6.6204584e-01
  7.8756559e-01  1.0220078e+00  6.9153184e-01  7.1619374e-01
  9.8213953e-01  7.1001053e-01  3.7732306e-01  3.9080468e-01
  6.2849760e-01  8.1617236e-01  7.8855771e-01  8.8228196e-01
  8.1645775e-01  4.8808658e-01  5.2818584e-01  6.2178826e-01
  5.8529347e-01  7.6259387e-01  8.8841683e-01  8.2223845e-01
  6.4523387e-01  5.0915158e-01  5.9228438e-01  6.5834785e-01
  6.5122521e-01  7.4390143e-01  6.7165285e-01  3.8426420e-01
  2.8246471e-01  3.0474687e-01  2.9939905e-01  3.1074122e-01
  2.7837256e-01  3.2263139e-01  3.2302341e-01  1.7941897e-01]",16
2,"[-3.9020081e+02  9.0063889e+01 -8.3348991e+01 -7.2771706e+01
 -2.8860554e+01  7.4231620e+00 -5.1380033e+00 -1.5185454e+01
 -9.1210871e+00 -5.2190847e+00 -7.7186089e+00  4.3396158e+00
  1.9143922e+00 -8.3395557e+00 -9.2860947e+00 -9.3760848e-01
 -7.2412902e-01 -5.0338960e+00  1.8398429e+00  5.1740093e+00
  3.7979174e+00 -3.0529966e+00 -1.9056270e+00  3.3671937e+00
  2.3569136e+00 -2.9289081e+00 -2.5612624e+00  1.2242013e-01
  2.3654041e-01 -1.0329436e+00  1.7495863e-01  2.2890348e+00
  1.2778494e+00  3.4473160e-01 -3.4763765e-01  1.1645143e+00
  1.8540558e+00  1.5298163e+00 -4.1285178e-01 -1.7077437e-01
  3.0629697e-01 -4.0397689e-01  1.4291108e-01 -3.3174345e-01
 -5.4895014e-01 -5.4623115e-01  1.5351012e-01  9.4840610e-01
  1.5045534e+00 -2.7153969e-01 -6.1340064e-01  2.8453600e-01
  1.1589612e+00  6.7025262e-01  9.3766578e-02 -4.0189388e-01
 -8.9581722e-01  1.2903021e-01 -2.4600843e-01 -6.2372053e-01
 -7.5910515e-01 -3.3014837e-01 -5.1616776e-01  2.1726294e-01
 -1.0161752e-01 -1.9236192e-01  5.8502346e-02  6.0814228e-02
  2.4630633e-01  4.7655353e-01 -2.2099800e-01 -6.4155757e-01
  3.1584457e-01  3.4112471e-01  2.1779346e-01 -3.4031391e-01
  4.3748340e-01  6.2476790e-01  3.2607329e-01 -8.1885807e-02
 -1.3602364e-01 -1.3584661e-03  5.0830799e-01  2.7570567e-01
 -3.9641425e-01 -2.0521773e-01 -1.3829976e-01 -2.2223730e-01
 -4.7263870e-01 -2.8075007e-01 -4.9387336e-01 -6.9851294e-02
  1.9227719e-01 -1.6482876e-01 -2.5368122e-02  3.1325036e-01
  1.0961644e-01  9.3492545e-02  5.9465799e-02 -3.0232736e-01]",9
3,"[-4.7190771e+02  1.9942758e+02  1.3971396e+01  4.1096226e+01
 -4.3171743e-01  1.0131982e+01  1.9760168e+01  9.7116184e+00
  5.1124578e+00  4.3066969e+00  5.0945249e+00  5.0858026e+00
  2.7222707e+00 -4.1600457e-01 -2.1411581e+00 -2.9247849e+00
 -1.5595236e+00 -1.3768606e+00 -8.7315835e-02  9.7699267e-01
  4.4453833e-01 -1.2081474e+00 -8.4832311e-03 -2.5330248e+00
 -1.7466519e+00 -2.4010427e+00 -2.2314589e+00 -2.0748405e+00
 -2.5983558e+00 -7.2613257e-01 -1.9120599e+00 -1.1853497e+00
 -5.0004333e-01 -4.8744774e-01 -1.4440551e+00 -1.3498935e+00
 -2.6158507e+00 -1.3981178e+00 -1.8593463e+00 -3.3046894e+00
 -2.0128279e+00 -2.3985548e+00 -1.5208470e+00 -1.3584604e+00
 -1.9737537e+00 -2.2546051e+00 -3.0440662e+00 -3.9251592e+00
 -3.8611116e+00 -3.5178266e+00 -2.6682718e+00 -2.9331477e+00
 -2.2511976e+00 -2.0544586e+00 -2.1295340e+00 -2.6385963e+00
 -2.8749306e+00 -2.0481992e+00 -1.6432507e+00 -1.0133880e+00
 -2.1919055e+00 -1.9985421e+00 -2.2634401e+00 -2.1182766e+00
 -2.6297483e+00 -3.0336661e+00 -2.0915952e+00 -2.0759273e+00
 -2.6472344e+00 -2.7087247e+00 -2.6519191e+00 -2.6708066e+00
 -1.7798374e+00 -2.0698972e+00 -1.6244364e+00 -1.8257341e+00
 -1.4313099e+00 -1.4673964e+00 -1.6781249e+00 -1.8257433e+00
 -2.4084475e+00 -2.1355939e+00 -1.4985501e+00 -1.0623215e+00
 -1.3290687e+00 -6.3020056e-01 -7.9544306e-01 -8.7445396e-01
 -1.4141597e+00 -1.0303981e+00 -7.0570064e-01 -5.9128314e-01
 -4.5894089e-01 -2.8013483e-01  1.2211077e-01  8.4574707e-02
  4.3629572e-01  7.5188927e-02  6.3016719e-01  3.1032538e-01]",47
4,"[-3.0124380e+02  1.8319830e+02 -4.0817181e+01  2.4299309e+01
 -1.5191206e+00  1.0341600e+01  6.8759279e+00  7.4313946e+00
  6.6529717e+00 -3.2446256e+00 -3.2337947e+00 -2.3827286e+00
 -1.3118429e+00  5.6600389e+00  7.3383031e+00 -2.2541728e+00
  6.1262727e+00  1.0555092e+00 -1.0814009e+00  8.2789726e+00
  9.3840170e+00  6.7689376e+00 -6.6022201e+00 -1.2610092e+01
 -1.1326357e+01 -2.7110372e+00  1.1551965e+01  1.1718704e+01
 -1.3422687e+00 -7.8415599e+00  8.6000389e-01  5.2790189e+00
 -3.6342542e+00 -1.0759027e+01 -6.6121144e+00  6.4356035e-01
  1.0355738e+01  9.2680435e+00 -6.6144548e-02 -2.8232684e+00
 -1.3496470e+00  3.3489614e+00  3.3555269e+00 -4.9003682e-01
  1.0107028e+00  1.4077620e-01  6.3736774e-03  2.3691034e+00
 -6.4615030e+00 -7.3228321e+00  5.4463929e-01  2.1828337e+00
 -4.7484765e+00 -2.7226517e+00  6.7332706e+00  2.4382761e-01
  1.3133116e+00  1.2839637e+01  8.8161306e+00 -9.9592371e+00
 -1.2369605e+01  6.1271459e-01  4.5397482e+00  2.8873181e-01
 -3.8782084e+00 -4.2446300e-01 -2.3329029e+00 -4.4377818e+00
  1.3896211e+00  1.6861292e+00  9.5079017e-01  1.3792166e+00
  6.6504471e-02  4.1964895e-01  1.1085624e+00  4.0797818e-01
  5.2034086e-01  4.6569803e-01  1.2194847e+00  3.0719070e+00
 -2.4517562e+00 -6.7189841e+00  4.5507278e+00  7.1152020e+00
 -3.9532163e+00 -2.0014353e+00  7.2258353e-01 -1.0535798e+00
  1.3160259e+00 -6.2596184e-01 -1.9434458e+00  2.8508861e+00
  9.6567076e-01 -4.6626258e+00  9.0243441e-01  2.5081129e+00
 -9.2609513e-01 -4.8998812e-01 -7.0521325e-01  4.6635947e-01]",42
5,"[-6.8376465e+02  3.6223480e+01 -1.2578374e+01  1.0989452e+01
 -9.0218830e+00 -3.3885419e+00 -1.0597920e+01  9.4629616e-01
 -7.5324249e-01  1.8919903e+00 -1.0747342e+00 -2.1376250e+00
 -4.0806036e+00 -2.1275809e+00 -2.6428368e+00  7.3015493e-01
  1.6731520e+00 -3.4872600e-01  1.8166955e+00  3.2791480e-01
  1.9296604e+00 -1.8388501e+00 -6.3838369e-01  7.2737068e-01
  1.0804336e+00  1.2166204e+00  3.0683880e+00 -8.9308517e-03
  4.7106457e-01  4.5019022e-01 -6.2141764e-01 -4.4220462e-01
  4.9499434e-01  4.9770817e-01  5.4906493e-01  8.3703661e-01
 -8.3184415e-01  1.2657493e+00 -7.4005288e-01  5.7134688e-01
 -1.6039348e-01 -3.9103723e-01 -1.1207384e+00 -2.0979357e-01
  7.4176395e-01  2.4957061e-02  2.0607354e-01 -4.5742878e-01
  5.8806460e-02 -5.7360172e-01  5.5809957e-01 -2.0083012e-02
  2.6438835e-01 -1.3688761e-01  3.8964903e-01  2.3792011e-01
  1.4899132e-02 -9.3061879e-02 -6.8007189e-01 -3.9026636e-01
 -4.2698607e-01  6.1861897e-01  2.2756390e-01 -6.4111194e-03
 -1.7628498e-01  1.7935677e-01 -6.3741112e-01  3.9922848e-02
 -2.6227173e-01  5.0154176e-02 -4.7978953e-01 -2.8782833e-01
 -3.5996714e-01 -3.5852879e-01  2.2157732e-02 -7.3072010e-01
  1.3417815e-01  8.5708424e-02 -1.5324767e-01 -3.0801353e-01
  8.6959809e-02 -5.2255410e-01 -1.1134589e-01 -3.0597550e-01
  2.6197919e-01 -1.0848269e-01 -2.1922016e-01 -3.5229526e-02
 -3.9340454e-01  2.9288355e-01 -1.8467529e-02 -8.3922364e-02
 -3.0636498e-01  8.8839158e-02  1.9407594e-03  4.6755079e-02
 -4.3203112e-01  5.2850928e-02  2.6244283e-01 -1.1348507e-02]",21
6,"[-1.78428467e+02  1.55015411e+02 -3.31965408e+01  2.19185162e+01
 -2.53455677e+01  1.27178316e+01 -2.74529190e+01  1.76681912e+00
 -2.34545078e+01 -5.60504198e+00 -1.32170582e+01 -6.73229837e+00
 -7.37685728e+00 -4.50421143e+00 -4.51481819e+00 -6.75301313e+00
 -5.26206636e+00 -6.54303455e+00 -6.44747794e-01 -6.93529558e+00
  3.16487789e+00 -4.87443972e+00  1.67028868e+00 -3.60859537e+00
  1.99940753e+00 -4.11602449e+00 -2.26280665e+00 -1.34533024e+00
  3.89782190e-01  1.42270231e+00 -1.28414440e+00 -5.32304458e-02
 -3.18334961e+00  2.51382971e+00 -7.38655090e-01  2.13442898e+00
 -1.54210448e+00  2.56127119e+00 -1.12085736e+00  1.74655497e+00
 -5.29462755e-01  1.34702647e+00  1.20962191e+00  1.14999509e+00
  2.46629333e+00  1.98679894e-01  3.53860474e+00  7.58978128e-01
  3.69266105e+00  6.43906295e-01  4.01236200e+00  1.02800000e+00
  3.19584751e+00  1.65564167e+00  2.68644762e+00  1.98672962e+00
  2.54949021e+00  2.45849323e+00  1.72506344e+00  2.56532001e+00
  5.57218015e-01  3.42230916e+00  1.18265414e+00  3.27748537e+00
  1.13867009e+00  3.27946544e+00  6.23795629e-01  2.32254839e+00
  8.82585645e-01  1.16203034e+00  1.37979019e+00  1.04353631e+00
  1.71948469e+00  4.99788374e-01  2.42439270e+00  6.95078850e-01
  2.35092020e+00  8.56543422e-01  2.27095246e+00  1.04624346e-01
  1.56401813e+00  8.96309435e-01  1.35553813e+00  7.28980899e-01
  9.65190589e-01  8.96679819e-01  2.28089198e-01  1.22652781e+00
  1.63736213e-02  1.31060791e+00 -2.25746185e-01  9.30105090e-01
 -2.17552364e-01  8.40821683e-01  1.03217222e-01  1.24580288e+00
 -3.33046690e-02  4.43872154e-01  2.53144264e-01 -5.84560744e-02]",11
7,"[-2.16657516e+02  1.19235931e+02 -5.80787506e+01  4.54046555e+01
 -3.26276283e+01  2.64542484e+01 -1.65745888e+01  1.62903061e+01
 -9.19957924e+00  1.64430618e+00 -1.37288351e+01  9.07081223e+00
 -1.55226154e+01  2.34478521e+00 -8.63407326e+00 -4.13063717e+00
 -1.14582453e+01 -2.11232305e+00 -1.53198595e+01 -4.04736370e-01
 -4.54548645e+00  5.05303669e+00 -1.19902287e+01  7.21915483e-01
 -4.03615618e+00  5.87416887e+00 -4.95555735e+00  9.88808751e-01
 -5.05772161e+00  2.97254372e+00 -4.47719193e+00  9.10227180e-01
 -5.78902578e+00 -2.34895468e+00 -3.84333253e+00 -4.69946861e+00
 -2.73897481e+00 -6.39946270e+00 -5.17419338e+00 -1.19926941e+00
 -3.16180885e-01 -2.55486774e+00 -5.15762711e+00 -3.01460433e+00
 -1.94858909e+00 -2.09958959e+00  4.73204279e+00 -3.57957935e+00
 -8.72231245e-01 -4.51591587e+00  3.39621353e+00 -1.26047063e+00
  1.22174919e+00  1.61327922e+00  5.28745508e+00  1.03643394e+00
  1.89957333e+00 -1.76425445e+00 -1.02252352e+00 -4.72268909e-01
  4.12613678e+00 -9.55742776e-01  2.05348754e+00 -1.08123422e+00
  6.56842768e-01 -4.80659842e-01  1.36895585e+00  5.27177528e-02
 -3.09352398e-01 -3.69864553e-01 -1.74129866e-02 -2.55358434e+00
 -2.52914333e+00 -1.16806519e+00  1.35856569e+00 -7.62225389e-01
  1.96833003e+00  8.24215591e-01 -4.00808603e-01  3.73486662e+00
  1.15316522e+00  2.84778833e+00 -1.08096564e+00 -1.41093898e+00
  1.04405858e-01  1.16165090e+00  8.16220939e-01 -1.07391500e+00
 -2.55711579e+00 -9.42722142e-01 -3.13319683e-01  7.39886165e-01
 -1.75937259e+00  2.18174413e-01 -2.13114858e+00 -7.40110278e-02
 -1.98343128e-01 -1.11085057e+00 -2.51213408e+00 -1.48986673e+00]",36
8,"[-1.31692352e+02  1.61314621e+02 -4.42280121e+01  3.21499290e+01
 -2.75199966e+01  2.57222824e+01 -1.99563656e+01  1.00547152e+01
 -4.27345562e+00  1.06196260e+00  2.67750472e-01 -2.00149417e+00
  3.46258163e+00 -3.35915351e+00  1.20430577e+00 -3.81249338e-01
 -3.02891359e-02 -8.20162773e-01  1.56749058e+00 -2.35723543e+00
  1.56014061e+00 -1.15398633e+00  7.11990952e-01 -1.53468907e+00
  1.99607027e+00 -2.51083207e+00  2.05441046e+00 -2.39168674e-01
  6.36910321e-03 -6.08954906e-01 -5.11586703e-02 -5.55013418e-01
 -1.14622808e+00  1.75749326e+00 -2.44854331e+00  2.28431940e+00
 -2.83198333e+00  2.52245808e+00 -1.78546166e+00  1.26356137e+00
  9.24283341e-02 -1.29918501e-01  1.20459044e+00  1.99272275e-01
  5.19271612e-01 -1.43048012e+00  1.62820792e+00 -1.13070941e+00
  1.47148514e+00 -2.64842778e-01  1.13711894e+00 -4.76641595e-01
  1.62049270e+00 -1.01841977e-02  8.24332297e-01  1.68081328e-01
  5.23264825e-01  6.00838780e-01  3.46822217e-02  1.16614592e+00
 -6.17131770e-01  1.33114362e+00 -3.65724742e-01  1.25687969e+00
 -8.25496197e-01  8.91556978e-01 -5.62317014e-01  2.80536920e-01
 -4.53493714e-01 -1.60924103e-02 -4.13501114e-02 -1.29687980e-01
  1.44382298e-01 -3.96007150e-01  6.92754209e-01 -7.16771901e-01
  1.08555782e+00 -9.47922647e-01  5.90431869e-01 -9.25465882e-01
  3.49429876e-01 -6.59675121e-01 -3.70302945e-02 -4.76181740e-03
 -1.50992095e-01  3.79526615e-01 -4.39680517e-01  4.20169979e-01
 -6.63909853e-01  4.08982456e-01 -4.05499488e-01  5.02842546e-01
 -5.39294541e-01  4.46473837e-01 -7.22838998e-01 -8.99662822e-02
 -1.07182026e-01  2.70441324e-01  6.52596653e-02 -1.63685665e-01]",11
9,"[-5.33851562e+02  6.33977242e+01  4.20831146e+01  2.22891102e+01
  1.04296980e+01  5.37659025e+00  3.62720013e+00  2.92954469e+00
  2.55999064e+00  2.49107552e+00  2.71549630e+00  3.09085846e+00
  3.51432943e+00  3.83884478e+00  3.83857322e+00  3.45776606e+00
  3.03464937e+00  2.86997342e+00  2.89434886e+00  2.93322587e+00
  2.94248533e+00  2.81786704e+00  2.27496839e+00  1.33126700e+00
  5.22041857e-01  3.27868193e-01  6.35439396e-01  1.04173958e+00
  1.38290489e+00  1.65168738e+00  1.71314454e+00  1.50290930e+00
  1.30368233e+00  1.38498735e+00  1.63181281e+00  1.75808597e+00
  1.70178545e+00  1.66265655e+00  1.77278185e+00  1.81966281e+00
  1.51296306e+00  1.02411270e+00  8.43197942e-01  1.12803531e+00
  1.53372443e+00  1.74839067e+00  1.74813712e+00  1.48904455e+00
  9.08527851e-01  1.92579210e-01 -3.08452606e-01 -4.56332237e-01
 -3.61970067e-01 -1.76422313e-01 -4.08805944e-02 -5.89281693e-02
 -1.98650151e-01 -2.87667811e-01 -2.48981401e-01 -1.64600402e-01
 -6.79928958e-02  3.74151953e-02  1.88248605e-02 -2.13618457e-01
 -5.05767763e-01 -6.66074336e-01 -6.43608689e-01 -4.40878361e-01
 -7.40792826e-02  3.11386734e-01  5.04750490e-01  4.63390470e-01
  3.21403086e-01  1.91004172e-01  7.71240070e-02  2.89712157e-02
  1.37957901e-01  3.55927944e-01  4.84229177e-01  3.90109152e-01
  1.76369175e-01 -9.53162648e-03 -1.50817856e-01 -2.60834605e-01
 -3.14928472e-01 -3.07050616e-01 -2.16484189e-01  1.79252699e-02
  2.96382070e-01  3.94112915e-01  2.98604637e-01  1.73889518e-01
  4.12519425e-02 -1.80317327e-01 -4.18113500e-01 -5.08324742e-01
 -4.07316267e-01 -2.17753172e-01 -8.98473337e-02 -1.12403505e-01]",30
